user_id,question_id,subject,topic,answer_correct,confidence,time_taken,expected_time
S6,117,DSA,Stack,1,4,10,8.0
S6,164,DSA,Stack,0,4,13,8.0
S6,56,DSA,Stack,0,4,7,8.0
S6,19,DSA,Stack,1,3,7,8.0
S7,132,DSA,Stack,1,1,7,8.0
S7,149,DSA,Stack,1,1,5,8.0
S7,244,DSA,Queue,1,5,12,8.0
S7,281,DSA,Queue,0,1,5,8.0
S7,131,DSA,Stack,1,4,8,8.0
S7,167,DSA,Stack,0,4,12,8.0
S7,21,DSA,Stack,1,3,3,8.0
S7,233,DSA,Queue,0,2,15,8.0
S7,275,DSA,Queue,1,4,15,8.0
S7,274,DSA,Queue,0,1,12,8.0
S8,43,DSA,Stack,0,2,7,8.0
S8,77,DSA,Stack,0,2,9,8.0
S8,272,DSA,Queue,0,1,3,8.0
S8,99,DSA,Stack,1,2,4,8.0
S8,12,DSA,Stack,1,3,11,8.0
S8,67,DSA,Stack,1,1,7,8.0
S8,114,DSA,Stack,0,5,12,8.0
S8,147,DSA,Stack,0,1,9,8.0
S8,236,DSA,Queue,1,3,11,8.0
S8,70,DSA,Stack,0,2,13,8.0
S9,234,DSA,Queue,1,4,3,8.0
S9,229,DSA,Queue,0,4,13,8.0
S9,112,DSA,Stack,1,5,14,8.0
S9,227,DSA,Queue,0,2,9,8.0
S9,48,DSA,Stack,1,2,9,8.0
S9,228,DSA,Queue,0,5,7,8.0
S9,136,DSA,Stack,1,5,9,8.0
S9,242,DSA,Queue,1,3,3,8.0
S9,43,DSA,Stack,0,4,12,8.0
S9,186,DSA,Queue,1,1,14,8.0
S10,127,DSA,Stack,1,1,7,8.0
S10,36,DSA,Stack,1,3,14,8.0
S10,26,DSA,Stack,1,2,9,8.0
S10,49,DSA,Stack,0,1,11,8.0
S10,235,DSA,Queue,1,1,14,8.0
S10,80,DSA,Stack,1,5,5,8.0
S10,34,DSA,Stack,0,4,3,8.0
S10,230,DSA,Queue,0,5,7,8.0
S10,9,DSA,Stack,1,1,5,
S10,139,DSA,Stack,0,1,8,8.0
S11,67,DSA,Stack,1,1,6,8.0
S11,103,DSA,Stack,1,5,9,8.0
S11,101,DSA,Stack,0,1,5,8.0
S11,83,DSA,Stack,0,3,6,8.0
S11,80,DSA,Stack,0,5,6,8.0
S11,20,DSA,Stack,1,1,5,8.0
S11,212,DSA,Queue,1,4,11,8.0
S11,150,DSA,Stack,0,4,8,8.0
S11,241,DSA,Queue,1,2,10,8.0
S11,280,DSA,Queue,0,1,6,8.0
S12,34,DSA,Stack,0,4,8,8.0
S12,279,DSA,Queue,0,5,15,8.0
S12,250,DSA,Queue,1,5,8,8.0
S12,95,DSA,Stack,0,1,12,8.0
S12,203,DSA,Queue,1,1,10,8.0
S12,9,DSA,Stack,1,5,6,
S12,199,DSA,Queue,1,1,8,8.0
S12,74,DSA,Stack,1,5,5,8.0
S12,206,DSA,Queue,0,2,4,8.0
S12,1,DSA,Stack,1,3,8,6.0
S13,136,DSA,Stack,1,5,12,8.0
S13,22,DSA,Stack,1,3,11,8.0
S13,60,DSA,Stack,0,1,13,8.0
S13,89,DSA,Stack,1,3,4,8.0
S13,246,DSA,Queue,0,4,5,8.0
S13,185,DSA,Queue,0,3,12,8.0
S13,81,DSA,Stack,1,4,8,8.0
S13,32,DSA,Stack,0,1,5,8.0
S13,171,DSA,Queue,0,3,8,8.0
S13,187,DSA,Queue,1,5,12,8.0
S14,52,DSA,Stack,0,5,10,8.0
S14,72,DSA,Stack,0,1,13,8.0
S14,272,DSA,Queue,1,3,7,8.0
S14,62,DSA,Stack,1,2,11,8.0
S14,107,DSA,Stack,0,2,9,8.0
S14,238,DSA,Queue,1,1,5,8.0
S14,69,DSA,Stack,1,4,13,8.0
S14,106,DSA,Stack,0,1,12,8.0
S14,125,DSA,Stack,1,2,8,8.0
S14,13,DSA,Stack,0,3,5,8.0
S15,159,DSA,Stack,0,1,5,8.0
S15,202,DSA,Queue,0,1,14,8.0
S15,266,DSA,Queue,1,2,8,8.0
S15,233,DSA,Queue,1,4,7,8.0
S15,234,DSA,Queue,0,1,5,8.0
S15,87,DSA,Stack,1,1,7,8.0
S15,183,DSA,Queue,1,1,12,8.0
S15,126,DSA,Stack,1,4,7,8.0
S15,164,DSA,Stack,0,2,9,8.0
S15,50,DSA,Stack,0,3,10,8.0
S16,202,DSA,Queue,1,2,5,8.0
S16,172,DSA,Queue,1,3,11,8.0
S16,199,DSA,Queue,0,2,5,8.0
S16,225,DSA,Queue,0,3,13,8.0
S16,131,DSA,Stack,0,5,8,8.0
S16,162,DSA,Stack,0,5,8,8.0
S16,183,DSA,Queue,1,3,4,8.0
S16,10,DSA,Stack,1,5,4,
S16,92,DSA,Stack,0,5,6,8.0
S16,88,DSA,Stack,0,4,9,8.0
S17,169,DSA,Stack,0,2,3,8.0
S17,262,DSA,Queue,1,1,15,8.0
S17,199,DSA,Queue,0,5,12,8.0
S17,4,DSA,Stack,0,2,10,
S17,278,DSA,Queue,1,5,6,8.0
S17,92,DSA,Stack,1,4,12,8.0
S17,31,DSA,Stack,0,5,3,8.0
S17,65,DSA,Stack,1,4,4,8.0
S17,273,DSA,Queue,1,5,14,8.0
S17,22,DSA,Stack,1,1,10,8.0
S18,108,DSA,Stack,0,1,11,8.0
S18,143,DSA,Stack,1,4,13,8.0
S18,126,DSA,Stack,0,5,13,8.0
S18,151,DSA,Stack,0,5,5,8.0
S18,20,DSA,Stack,0,2,11,8.0
S18,60,DSA,Stack,1,2,8,8.0
S18,97,DSA,Stack,1,2,10,8.0
S18,249,DSA,Queue,0,5,7,8.0
S18,82,DSA,Stack,1,4,3,8.0
S18,239,DSA,Queue,1,3,3,8.0
S19,231,DSA,Queue,0,2,10,8.0
S19,122,DSA,Stack,1,5,12,8.0
S19,117,DSA,Stack,1,1,15,8.0
S19,79,DSA,Stack,0,4,13,8.0
S19,8,DSA,Stack,1,5,9,
S19,43,DSA,Stack,0,3,3,8.0
S19,63,DSA,Stack,1,5,11,8.0
S19,37,DSA,Stack,1,5,4,8.0
S19,32,DSA,Stack,0,5,3,8.0
S19,146,DSA,Stack,1,5,4,8.0
S20,72,DSA,Stack,1,5,7,8.0
S20,223,DSA,Queue,1,1,13,8.0
S20,176,DSA,Queue,0,4,9,8.0
S20,95,DSA,Stack,0,5,3,8.0
S20,39,DSA,Stack,0,2,8,8.0
S20,202,DSA,Queue,0,2,9,8.0
S20,185,DSA,Queue,1,1,5,8.0
S20,77,DSA,Stack,1,5,10,8.0
S20,257,DSA,Queue,0,5,5,8.0
S20,243,DSA,Queue,1,5,10,8.0
S21,17,DSA,Stack,0,4,7,8.0
S21,238,DSA,Queue,1,4,15,8.0
S21,226,DSA,Queue,1,2,5,8.0
S21,165,DSA,Stack,0,2,10,8.0
S21,68,DSA,Stack,1,4,13,8.0
S21,131,DSA,Stack,1,1,3,8.0
S21,107,DSA,Stack,0,5,10,8.0
S21,190,DSA,Queue,0,2,14,8.0
S21,153,DSA,Stack,0,5,13,8.0
S21,23,DSA,Stack,1,5,9,8.0
S22,283,DSA,Queue,0,5,3,8.0
S22,269,DSA,Queue,1,1,11,8.0
S22,155,DSA,Stack,1,5,14,8.0
S22,146,DSA,Stack,0,3,6,8.0
S22,88,DSA,Stack,1,3,6,8.0
S22,42,DSA,Stack,0,3,6,8.0
S22,13,DSA,Stack,0,4,15,8.0
S22,236,DSA,Queue,1,1,3,8.0
S22,280,DSA,Queue,0,5,3,8.0
S22,69,DSA,Stack,1,4,14,8.0
S23,248,DSA,Queue,1,4,11,8.0
S23,160,DSA,Stack,1,5,11,8.0
S23,148,DSA,Stack,1,5,10,8.0
S23,233,DSA,Queue,0,5,15,8.0
S23,215,DSA,Queue,1,1,12,8.0
S23,146,DSA,Stack,1,1,5,8.0
S23,169,DSA,Stack,1,1,15,8.0
S23,193,DSA,Queue,0,1,6,8.0
S23,67,DSA,Stack,1,4,6,8.0
S23,5,DSA,Stack,0,2,6,
S24,40,DSA,Stack,1,4,15,8.0
S24,42,DSA,Stack,0,2,5,8.0
S24,85,DSA,Stack,0,3,5,8.0
S24,70,DSA,Stack,0,4,8,8.0
S24,3,DSA,Stack,1,3,10,
S24,46,DSA,Stack,1,3,11,8.0
S24,134,DSA,Stack,0,3,8,8.0
S24,222,DSA,Queue,0,1,12,8.0
S24,56,DSA,Stack,0,5,10,8.0
S24,250,DSA,Queue,0,2,12,8.0
S25,239,DSA,Queue,1,1,10,8.0
S25,172,DSA,Queue,1,2,14,8.0
S25,217,DSA,Queue,0,3,3,8.0
S25,155,DSA,Stack,1,4,7,8.0
S25,182,DSA,Queue,0,2,5,8.0
S25,54,DSA,Stack,1,1,9,8.0
S25,212,DSA,Queue,1,4,8,8.0
S25,183,DSA,Queue,1,2,15,8.0
S25,141,DSA,Stack,1,2,5,8.0
S25,135,DSA,Stack,0,1,13,8.0
S26,286,DSA,Queue,0,4,6,8.0
S26,165,DSA,Stack,1,1,5,8.0
S26,262,DSA,Queue,0,5,15,8.0
S26,253,DSA,Queue,1,5,4,8.0
S26,37,DSA,Stack,0,1,15,8.0
S26,126,DSA,Stack,0,2,4,8.0
S26,21,DSA,Stack,1,3,15,8.0
S26,227,DSA,Queue,1,5,8,8.0
S26,53,DSA,Stack,0,4,9,8.0
S26,28,DSA,Stack,1,4,10,8.0
S27,140,DSA,Stack,0,5,14,8.0
S27,158,DSA,Stack,0,1,4,8.0
S27,214,DSA,Queue,1,2,7,8.0
S27,97,DSA,Stack,0,5,8,8.0
S27,1,DSA,Stack,0,1,6,6.0
S27,234,DSA,Queue,1,1,3,8.0
S27,14,DSA,Stack,1,4,4,8.0
S27,170,DSA,Stack,1,3,15,8.0
S27,198,DSA,Queue,0,4,15,8.0
S27,250,DSA,Queue,0,1,7,8.0
S28,246,DSA,Queue,0,1,5,8.0
S28,286,DSA,Queue,1,3,10,8.0
S28,11,DSA,Stack,0,2,3,8.0
S28,145,DSA,Stack,1,5,5,8.0
S28,82,DSA,Stack,1,4,13,8.0
S28,177,DSA,Queue,0,5,12,8.0
S28,99,DSA,Stack,0,5,5,8.0
S28,149,DSA,Stack,0,2,12,8.0
S28,72,DSA,Stack,0,4,7,8.0
S28,160,DSA,Stack,1,5,12,8.0
S29,245,DSA,Queue,0,3,3,8.0
S29,272,DSA,Queue,1,4,14,8.0
S29,242,DSA,Queue,1,4,15,8.0
S29,49,DSA,Stack,1,2,12,8.0
S29,152,DSA,Stack,0,5,11,8.0
S29,92,DSA,Stack,1,4,5,8.0
S29,159,DSA,Stack,0,4,15,8.0
S29,11,DSA,Stack,0,2,6,8.0
S29,210,DSA,Queue,0,5,7,8.0
S29,201,DSA,Queue,0,5,11,8.0
S30,263,DSA,Queue,1,2,8,8.0
S30,268,DSA,Queue,1,3,15,8.0
S30,41,DSA,Stack,1,3,6,8.0
S30,175,DSA,Queue,1,4,9,8.0
S30,27,DSA,Stack,1,5,3,8.0
S30,120,DSA,Stack,1,5,9,8.0
S30,273,DSA,Queue,0,3,3,8.0
S30,198,DSA,Queue,0,1,15,8.0
S30,74,DSA,Stack,0,5,10,8.0
S30,167,DSA,Stack,1,4,8,8.0
S31,25,DSA,Stack,1,3,10,8.0
S31,290,DSA,Queue,1,3,5,8.0
S31,178,DSA,Queue,1,5,13,8.0
S31,273,DSA,Queue,0,1,9,8.0
S31,33,DSA,Stack,0,2,7,8.0
S31,101,DSA,Stack,0,2,11,8.0
S31,135,DSA,Stack,1,4,3,8.0
S31,162,DSA,Stack,1,1,6,8.0
S31,77,DSA,Stack,1,5,12,8.0
S31,131,DSA,Stack,1,4,9,8.0
S32,187,DSA,Queue,0,2,13,8.0
S32,160,DSA,Stack,1,2,10,8.0
S32,234,DSA,Queue,0,4,15,8.0
S32,27,DSA,Stack,0,4,8,8.0
S32,188,DSA,Queue,1,5,10,8.0
S32,22,DSA,Stack,0,3,15,8.0
S32,96,DSA,Stack,1,2,14,8.0
S32,262,DSA,Queue,1,1,12,8.0
S32,105,DSA,Stack,0,3,8,8.0
S32,244,DSA,Queue,0,5,10,8.0
S33,71,DSA,Stack,1,5,11,8.0
S33,60,DSA,Stack,1,5,12,8.0
S33,34,DSA,Stack,0,5,11,8.0
S33,63,DSA,Stack,1,5,10,8.0
S33,33,DSA,Stack,0,3,14,8.0
S33,226,DSA,Queue,1,5,10,8.0
S33,172,DSA,Queue,1,1,9,8.0
S33,199,DSA,Queue,1,3,15,8.0
S33,115,DSA,Stack,1,2,11,8.0
S33,98,DSA,Stack,0,5,11,8.0
S34,270,DSA,Queue,0,3,13,8.0
S34,35,DSA,Stack,0,4,13,8.0
S34,16,DSA,Stack,0,1,3,8.0
S34,289,DSA,Queue,0,3,10,8.0
S34,250,DSA,Queue,0,4,5,8.0
S34,193,DSA,Queue,0,3,6,8.0
S34,56,DSA,Stack,0,1,13,8.0
S34,286,DSA,Queue,1,3,15,8.0
S34,23,DSA,Stack,0,4,5,8.0
S34,252,DSA,Queue,0,2,5,8.0
S35,96,DSA,Stack,1,5,12,8.0
S35,159,DSA,Stack,0,1,6,8.0
S35,122,DSA,Stack,1,3,10,8.0
S35,34,DSA,Stack,1,5,3,8.0
S35,157,DSA,Stack,0,5,8,8.0
S35,65,DSA,Stack,0,4,8,8.0
S35,75,DSA,Stack,0,2,12,8.0
S35,101,DSA,Stack,0,4,6,8.0
S35,238,DSA,Queue,1,5,15,8.0
S35,104,DSA,Stack,0,2,10,8.0
S36,123,DSA,Stack,0,1,13,8.0
S36,246,DSA,Queue,0,5,9,8.0
S36,165,DSA,Stack,1,2,15,8.0
S36,98,DSA,Stack,0,1,6,8.0
S36,182,DSA,Queue,0,1,13,8.0
S36,42,DSA,Stack,1,1,10,8.0
S36,106,DSA,Stack,0,2,13,8.0
S36,242,DSA,Queue,0,4,14,8.0
S36,56,DSA,Stack,1,3,13,8.0
S36,52,DSA,Stack,0,2,6,8.0
S37,18,DSA,Stack,1,3,4,8.0
S37,222,DSA,Queue,0,2,6,8.0
S37,127,DSA,Stack,1,5,12,8.0
S37,42,DSA,Stack,1,1,13,8.0
S37,184,DSA,Queue,1,1,6,8.0
S37,180,DSA,Queue,1,2,10,8.0
S37,79,DSA,Stack,1,4,7,8.0
S37,255,DSA,Queue,0,4,3,8.0
S37,201,DSA,Queue,1,3,10,8.0
S37,246,DSA,Queue,0,5,3,8.0
S38,230,DSA,Queue,1,1,5,8.0
S38,256,DSA,Queue,1,2,3,8.0
S38,203,DSA,Queue,0,5,13,8.0
S38,215,DSA,Queue,1,5,5,8.0
S38,246,DSA,Queue,0,4,3,8.0
S38,11,DSA,Stack,0,5,4,8.0
S38,183,DSA,Queue,0,5,6,8.0
S38,233,DSA,Queue,0,3,13,8.0
S38,153,DSA,Stack,1,4,4,8.0
S38,243,DSA,Queue,0,3,6,8.0
S39,199,DSA,Queue,1,2,3,8.0
S39,142,DSA,Stack,1,4,8,8.0
S39,231,DSA,Queue,0,2,4,8.0
S39,264,DSA,Queue,1,5,5,8.0
S39,64,DSA,Stack,1,3,12,8.0
S39,126,DSA,Stack,0,5,3,8.0
S39,136,DSA,Stack,1,3,11,8.0
S39,55,DSA,Stack,1,3,15,8.0
S39,207,DSA,Queue,1,5,7,8.0
S39,78,DSA,Stack,0,2,7,8.0
S40,151,DSA,Stack,1,2,8,8.0
S40,77,DSA,Stack,1,5,3,8.0
S40,72,DSA,Stack,0,3,10,8.0
S40,156,DSA,Stack,1,5,10,8.0
S40,191,DSA,Queue,1,4,6,8.0
S40,121,DSA,Stack,1,5,12,8.0
S40,125,DSA,Stack,0,2,6,8.0
S40,222,DSA,Queue,0,1,14,8.0
S40,80,DSA,Stack,1,1,6,8.0
S40,211,DSA,Queue,1,5,10,8.0
S41,112,DSA,Stack,0,2,6,8.0
S41,219,DSA,Queue,0,5,12,8.0
S41,64,DSA,Stack,1,1,3,8.0
S41,87,DSA,Stack,0,2,7,8.0
S41,43,DSA,Stack,1,3,8,8.0
S41,33,DSA,Stack,0,5,3,8.0
S41,41,DSA,Stack,1,1,10,8.0
S41,59,DSA,Stack,0,2,6,8.0
S41,186,DSA,Queue,0,3,13,8.0
S41,243,DSA,Queue,1,2,13,8.0
S42,284,DSA,Queue,1,1,4,8.0
S42,221,DSA,Queue,1,4,3,8.0
S42,73,DSA,Stack,1,1,15,8.0
S42,37,DSA,Stack,1,4,13,8.0
S42,159,DSA,Stack,1,3,15,8.0
S42,63,DSA,Stack,1,3,3,8.0
S42,257,DSA,Queue,1,2,9,8.0
S42,173,DSA,Queue,1,4,5,8.0
S42,48,DSA,Stack,1,3,6,8.0
S42,129,DSA,Stack,1,3,15,8.0
S43,14,DSA,Stack,1,4,7,8.0
S43,230,DSA,Queue,1,1,6,8.0
S43,129,DSA,Stack,1,1,11,8.0
S43,183,DSA,Queue,1,5,7,8.0
S43,11,DSA,Stack,0,5,14,8.0
S43,187,DSA,Queue,0,4,14,8.0
S43,249,DSA,Queue,0,4,10,8.0
S43,201,DSA,Queue,0,3,5,8.0
S43,140,DSA,Stack,1,3,3,8.0
S43,6,DSA,Stack,0,1,10,
S44,259,DSA,Queue,1,1,9,8.0
S44,16,DSA,Stack,1,5,9,8.0
S44,17,DSA,Stack,0,1,6,8.0
S44,59,DSA,Stack,1,3,10,8.0
S44,204,DSA,Queue,0,3,15,8.0
S44,243,DSA,Queue,1,1,6,8.0
S44,94,DSA,Stack,1,3,11,8.0
S44,162,DSA,Stack,1,1,12,8.0
S44,225,DSA,Queue,1,4,5,8.0
S44,178,DSA,Queue,0,5,13,8.0
S45,236,DSA,Queue,0,5,13,8.0
S45,170,DSA,Stack,0,1,5,8.0
S45,182,DSA,Queue,0,5,11,8.0
S45,90,DSA,Stack,0,3,11,8.0
S45,103,DSA,Stack,1,3,13,8.0
S45,290,DSA,Queue,1,1,7,8.0
S45,95,DSA,Stack,1,5,9,8.0
S45,283,DSA,Queue,1,5,8,8.0
S45,47,DSA,Stack,0,1,4,8.0
S45,256,DSA,Queue,1,1,3,8.0
S46,2,DSA,Stack,1,3,10,
S46,59,DSA,Stack,0,4,8,8.0
S46,180,DSA,Queue,1,4,7,8.0
S46,23,DSA,Stack,0,5,8,8.0
S46,86,DSA,Stack,0,1,14,8.0
S46,101,DSA,Stack,1,2,8,8.0
S46,191,DSA,Queue,1,2,15,8.0
S46,18,DSA,Stack,0,1,7,8.0
S46,222,DSA,Queue,1,5,15,8.0
S46,27,DSA,Stack,0,2,4,8.0
S47,197,DSA,Queue,0,3,3,8.0
S47,240,DSA,Queue,1,3,11,8.0
S47,191,DSA,Queue,0,4,12,8.0
S47,171,DSA,Queue,0,4,5,8.0
S47,5,DSA,Stack,1,3,14,
S47,283,DSA,Queue,1,4,4,8.0
S47,83,DSA,Stack,0,1,15,8.0
S47,277,DSA,Queue,0,4,4,8.0
S47,88,DSA,Stack,0,4,13,8.0
S47,37,DSA,Stack,1,1,5,8.0
S48,246,DSA,Queue,1,5,12,8.0
S48,265,DSA,Queue,0,3,15,8.0
S48,167,DSA,Stack,1,3,11,8.0
S48,1,DSA,Stack,1,2,7,6.0
S48,203,DSA,Queue,0,4,13,8.0
S48,267,DSA,Queue,1,3,14,8.0
S48,91,DSA,Stack,1,2,4,8.0
S48,153,DSA,Stack,0,4,3,8.0
S48,108,DSA,Stack,1,4,10,8.0
S48,281,DSA,Queue,0,3,11,8.0
S49,268,DSA,Queue,0,2,3,8.0
S49,197,DSA,Queue,0,5,14,8.0
S49,91,DSA,Stack,0,3,11,8.0
S49,183,DSA,Queue,1,3,13,8.0
S49,185,DSA,Queue,1,4,14,8.0
S49,97,DSA,Stack,0,5,15,8.0
S49,233,DSA,Queue,0,4,15,8.0
S49,23,DSA,Stack,1,3,13,8.0
S49,163,DSA,Stack,0,5,15,8.0
S49,278,DSA,Queue,1,4,3,8.0
S50,196,DSA,Queue,1,4,10,8.0
S50,182,DSA,Queue,0,5,10,8.0
S50,161,DSA,Stack,0,1,11,8.0
S50,77,DSA,Stack,0,2,11,8.0
S50,60,DSA,Stack,1,2,5,8.0
S50,66,DSA,Stack,1,1,7,8.0
S50,219,DSA,Queue,1,5,5,8.0
S50,216,DSA,Queue,0,1,9,8.0
S50,62,DSA,Stack,0,5,15,8.0
S50,120,DSA,Stack,0,3,11,8.0
S51,175,DSA,Queue,1,1,3,8.0
S51,149,DSA,Stack,1,1,12,8.0
S51,78,DSA,Stack,1,4,13,8.0
S51,282,DSA,Queue,1,5,5,8.0
S51,54,DSA,Stack,0,4,13,8.0
S51,197,DSA,Queue,0,4,11,8.0
S51,99,DSA,Stack,0,5,3,8.0
S51,35,DSA,Stack,0,3,11,8.0
S51,19,DSA,Stack,1,2,11,8.0
S51,236,DSA,Queue,1,3,11,8.0
S52,21,DSA,Stack,1,3,5,8.0
S52,251,DSA,Queue,0,3,3,8.0
S52,70,DSA,Stack,1,3,6,8.0
S52,185,DSA,Queue,0,4,15,8.0
S52,27,DSA,Stack,0,3,5,8.0
S52,235,DSA,Queue,0,5,6,8.0
S52,88,DSA,Stack,1,2,4,8.0
S52,32,DSA,Stack,0,1,4,8.0
S52,181,DSA,Queue,0,2,13,8.0
S52,126,DSA,Stack,1,1,7,8.0
S53,230,DSA,Queue,1,5,11,8.0
S53,85,DSA,Stack,0,1,8,8.0
S53,105,DSA,Stack,1,2,14,8.0
S53,11,DSA,Stack,1,2,11,8.0
S53,215,DSA,Queue,0,5,12,8.0
S53,224,DSA,Queue,1,2,8,8.0
S53,180,DSA,Queue,0,2,15,8.0
S53,164,DSA,Stack,0,3,6,8.0
S53,176,DSA,Queue,0,1,7,8.0
S53,202,DSA,Queue,0,5,6,8.0
S54,2,DSA,Stack,1,3,8,
S54,108,DSA,Stack,1,1,10,8.0
S54,169,DSA,Stack,1,1,10,8.0
S54,79,DSA,Stack,1,5,4,8.0
S54,268,DSA,Queue,0,3,5,8.0
S54,91,DSA,Stack,0,2,12,8.0
S54,107,DSA,Stack,1,3,15,8.0
S54,145,DSA,Stack,0,3,8,8.0
S54,112,DSA,Stack,1,4,10,8.0
S54,247,DSA,Queue,0,2,8,8.0
S55,232,DSA,Queue,1,4,6,8.0
S55,110,DSA,Stack,0,2,6,8.0
S55,53,DSA,Stack,0,5,11,8.0
S55,96,DSA,Stack,1,2,9,8.0
S55,159,DSA,Stack,0,1,4,8.0
S55,284,DSA,Queue,0,3,7,8.0
S55,225,DSA,Queue,1,4,11,8.0
S55,143,DSA,Stack,0,4,6,8.0
S55,212,DSA,Queue,0,2,13,8.0
S55,177,DSA,Queue,1,3,11,8.0
S56,34,DSA,Stack,1,3,10,8.0
S56,11,DSA,Stack,1,3,7,8.0
S56,245,DSA,Queue,0,3,11,8.0
S56,166,DSA,Stack,1,1,11,8.0
S56,14,DSA,Stack,0,3,7,8.0
S56,274,DSA,Queue,1,3,8,8.0
S56,287,DSA,Queue,0,1,9,8.0
S56,170,DSA,Stack,1,3,13,8.0
S56,104,DSA,Stack,1,4,15,8.0
S56,285,DSA,Queue,1,5,4,8.0
S57,106,DSA,Stack,0,1,3,8.0
S57,221,DSA,Queue,1,1,14,8.0
S57,103,DSA,Stack,0,2,11,8.0
S57,165,DSA,Stack,1,2,4,8.0
S57,22,DSA,Stack,1,5,7,8.0
S57,211,DSA,Queue,0,1,12,8.0
S57,15,DSA,Stack,1,5,3,8.0
S57,13,DSA,Stack,0,1,11,8.0
S57,169,DSA,Stack,1,5,5,8.0
S57,231,DSA,Queue,1,4,11,8.0
S58,248,DSA,Queue,0,2,14,8.0
S58,255,DSA,Queue,1,5,7,8.0
S58,274,DSA,Queue,0,3,3,8.0
S58,31,DSA,Stack,1,1,5,8.0
S58,178,DSA,Queue,1,4,11,8.0
S58,164,DSA,Stack,0,3,4,8.0
S58,140,DSA,Stack,0,2,8,8.0
S58,201,DSA,Queue,0,1,6,8.0
S58,77,DSA,Stack,0,1,3,8.0
S58,143,DSA,Stack,1,2,6,8.0
S59,264,DSA,Queue,0,3,8,8.0
S59,158,DSA,Stack,1,2,3,8.0
S59,10,DSA,Stack,0,4,7,
S59,254,DSA,Queue,0,3,6,8.0
S59,44,DSA,Stack,0,3,14,8.0
S59,63,DSA,Stack,0,3,4,8.0
S59,40,DSA,Stack,1,5,11,8.0
S59,199,DSA,Queue,1,1,12,8.0
S59,125,DSA,Stack,1,5,11,8.0
S59,273,DSA,Queue,0,1,3,8.0
S60,288,DSA,Queue,1,4,9,8.0
S60,13,DSA,Stack,1,5,13,8.0
S60,235,DSA,Queue,0,4,6,8.0
S60,214,DSA,Queue,1,5,14,8.0
S60,257,DSA,Queue,0,1,15,8.0
S60,238,DSA,Queue,1,3,8,8.0
S60,228,DSA,Queue,1,2,4,8.0
S60,86,DSA,Stack,1,5,5,8.0
S60,139,DSA,Stack,1,3,4,8.0
S60,271,DSA,Queue,0,2,4,8.0
S61,272,DSA,Queue,1,3,3,8.0
S61,17,DSA,Stack,0,5,5,8.0
S61,248,DSA,Queue,0,3,13,8.0
S61,78,DSA,Stack,0,4,8,8.0
S61,178,DSA,Queue,0,4,14,8.0
S61,270,DSA,Queue,0,3,11,8.0
S61,29,DSA,Stack,0,1,8,8.0
